#SUBMITTED ID	SYMBOL	GENE_SNAPSHOT
FBgn0039666	Diedel	"Diedel (Diedel) encodes a small extracellular immunomodulatory cytokine, which down-regulates the immune deficiency pathway of host defense. Some insect DNA viruses encode proteins homologous to the product of Diedel. [Date last reviewed: 2019-03-07]"
FBgn0262881	Mtkl	Insufficient genetic data for FlyBase to solicit a summary. [Date last reviewed: 2016-10-13]
FBgn0010385	Def	Defensin (Def) encodes an antibacterial peptide with activity against Gram-positive bacteria. It is induced in the fat body during the systemic immune response and is expressed in various epithelia. The expression of Def is regulated at the transcriptional level by both the immune deficiency and Toll pathways. [Date last reviewed: 2019-03-07]
FBgn0034328	BomBc1	Insufficient genetic data for FlyBase to solicit a summary. [Date last reviewed: 2016-06-30]
FBgn0028396	TotA	Turandot A (TotA) encodes a protein that belongs to a class of poorly characterized secreted peptides. Some Turandot genes are expressed in response to stress in the fat body by the JAK-STAT pathway. [Date last reviewed: 2019-03-14]
FBgn0031701	TotM	Turandot M (TotM) encodes a protein that belongs to a class of poorly characterized secreted peptides. Some Turandot genes are expressed in response to stress in the fat body by the JAK-STAT pathway. [Date last reviewed: 2019-03-14]
FBgn0044812	TotC	Turandot C (TotC) encodes a protein that belongs to a class of poorly characterized secreted peptides. Some Turandot genes are expressed in response to stress in the fat body by the JAK-STAT pathway. [Date last reviewed: 2019-03-14]
FBgn0262838	BomT1	Insufficient genetic data for FlyBase to solicit a summary. [Date last reviewed: 2016-06-30]
FBgn0040582	BomBc3	Insufficient genetic data for FlyBase to solicit a summary. [Date last reviewed: 2016-06-30]
FBgn0043578	PGRP-SB1	"Peptidoglycan recognition protein SB1 (PGRP-SB1) encodes a secreted peptidoglycan recognition protein (PGRP) with an amidase activity against DAP-type peptidoglycan, a cell wall component found on Gram-negative bacteria and certain Gram positive bacteria. It is strongly induced upon bacterial infection by the immune deficiency pathway, suggesting a role as an immune effector. [Date last reviewed: 2019-03-14]"
